R1,R2,C1,High,Low,Relative Closeness (High),Relative Closeness (Low)
470,150000,5.1µF,0.5318061209999999,0.5301449999999999,0.06361224199999982,0.06028999999999973
10000,470000,1.6µF,0.532224,0.5211359999999999,0.06444800000000006,0.042271999999999865
47000,150000,3.9µF,0.5324319,0.40540499999999996,0.06486379999999992,0.18919000000000008
680,150000,5.1µF,0.5325483239999999,0.5301449999999999,0.0650966479999997,0.06028999999999973
6800,150000,4.3µF,0.46724831999999994,0.4469849999999999,0.06550336000000012,0.10603000000000018
4700,220000,3.0µF,0.46715129999999994,0.45738,0.06569740000000013,0.08523999999999998
6800,330000,2.0µF,0.46680479999999996,0.4573799999999999,0.06639040000000007,0.0852400000000002
1000,150000,5.1µF,0.5336792999999999,0.5301449999999999,0.06735859999999971,0.06028999999999973
47000,470000,1.3µF,0.4657653,0.423423,0.06846940000000001,0.153154
22000,680000,1.1µF,0.5351346,0.5183639999999999,0.07026920000000003,0.03672799999999987
22000,150000,3.9µF,0.46486439999999996,0.40540499999999996,0.07027120000000009,0.18919000000000008
1500,150000,5.1µF,0.5354464499999999,0.5301449999999999,0.07089289999999981,0.06028999999999973
3300,220000,3.0µF,0.4642407,0.45738,0.07151859999999999,0.08523999999999998
4700,330000,2.0µF,0.4638941999999999,0.4573799999999999,0.07221160000000015,0.0852400000000002
100000,330000,1.8µF,0.536382,0.41164199999999995,0.07276400000000005,0.1767160000000001
22000,330000,2.2µF,0.5366592,0.503118,0.0733184,0.006235999999999908
3300,100000,7.5µF,0.53690175,0.5197499999999999,0.07380349999999991,0.03949999999999987
15000,150000,4.7µF,0.5374214999999999,0.4885649999999999,0.07484299999999977,0.022870000000000168
15000,220000,3.3µF,0.5374215,0.503118,0.07484299999999999,0.006235999999999908
47000,470000,1.5µF,0.5374215,0.488565,0.07484299999999999,0.022869999999999946
15000,470000,1.6µF,0.537768,0.5211359999999999,0.07553600000000005,0.042271999999999865
2200,150000,5.1µF,0.5379204599999999,0.5301449999999999,0.07584091999999987,0.06028999999999973
3300,330000,2.0µF,0.46195379999999997,0.4573799999999999,0.07609240000000006,0.0852400000000002
2200,220000,3.0µF,0.4619537999999999,0.45738,0.07609240000000017,0.08523999999999998
68000,220000,2.7µF,0.5388767999999999,0.411642,0.07775359999999987,0.17671599999999998
4700,150000,4.3µF,0.4609905299999999,0.4469849999999999,0.0780189400000002,0.10603000000000018
1500,220000,3.0µF,0.46049850000000003,0.45738,0.07900299999999993,0.08523999999999998
2200,330000,2.0µF,0.4604291999999999,0.4573799999999999,0.07914160000000015,0.0852400000000002
100000,680000,1.0µF,0.54054,0.47123999999999994,0.08108000000000004,0.05752000000000013
1000,220000,3.0µF,0.459459,0.45738,0.08108199999999999,0.08523999999999998
1500,330000,2.0µF,0.4594589999999999,0.4573799999999999,0.08108200000000021,0.0852400000000002
6800,100000,6.2µF,0.45887687999999993,0.42966,0.08224624000000014,0.14068000000000003
680,220000,3.0µF,0.45879371999999996,0.45738,0.08241256000000008,0.08523999999999998
